,url,fork,stars,contr_count,lang,have_site,have_releases,license
119,https://github.com/kennytm/cov,9,120,1,"[('Rust', 85.1), ('JavaScript', 8.1), ('HTML', 3.7), ('Python', 1.5), ('CSS', 1.4), ('C++', 0.2)]",False,False,MIT license
120,https://github.com/sgrif/swirl,11,120,1,"[('Rust', 99.7), ('RenderScript', 0.3)]",False,False,
121,https://github.com/redox-os/games,39,120,1,"[('Rust', 100.0)]",False,False,MIT license
122,https://github.com/manuels/bulletinboard-dht,6,120,1,"[('Rust', 92.1), ('Shell', 6.5)]",False,False,GPL-2.0 license
123,https://github.com/kennytm/cov,9,120,1,"[('Rust', 85.1), ('JavaScript', 8.1), ('HTML', 3.7), ('Python', 1.5), ('CSS', 1.4), ('C++', 0.2)]",False,False,MIT license
124,https://github.com/int08h/roughenough,20,120,1,"[('Rust', 99.2), ('Dockerfile', 0.8)]",False,False,Apache-2.0 license
125,https://github.com/openzklib/openzl,14,119,1,"[('Rust', 95.2), ('Sage', 4.8)]",False,False,View license
126,https://github.com/iwilsonq/rust-graphql-example,16,118,1,"[('Rust', 77.0), ('PLpgSQL', 17.9), ('TSQL', 5.1)]",False,False,
127,https://github.com/tendermint/rust-abci,36,117,1,"[('Rust', 99.8), ('Makefile', 0.2)]",False,False,Apache-2.0 license
128,https://github.com/jkarns275/stdgba,6,117,1,"[('Rust', 99.9), ('Makefile', 0.1)]",False,False,MIT license
129,https://github.com/oxidecomputer/third-party-api-clients,48,117,1,"[('Rust', 99.9), ('Makefile', 0.1)]",False,False,MIT license
130,https://github.com/japaric/stm32f103xx-hal,40,115,1,"[('Rust', 97.7), ('Shell', 1.8)]",False,False,
131,https://github.com/exclave/exclave,13,115,1,"[('Rust', 83.2), ('PowerShell', 15.5)]",False,False,BSD-3-Clause license
132,https://github.com/wasabeef/droid,6,115,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
133,https://github.com/llogiq/metacollect,2,115,1,"[('Rust', 100.0)]",False,False,MPL-2.0 license
134,https://github.com/iqlusioninc/veriform,8,115,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
135,https://github.com/hjr3/php-rpm,12,114,1,"[('Rust', 92.4), ('C', 4.7), ('Shell', 2.0)]",False,False,
136,https://github.com/gfx-rs/genmesh,28,114,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
137,https://github.com/bobbin-rs/bobbin-cli,9,114,1,"[('Rust', 100.0)]",False,False,
138,https://github.com/likr-sandbox/rust-webgl2-example,6,114,1,"[('Rust', 89.2), ('HTML', 10.8)]",False,False,MIT license
139,https://github.com/dalek-cryptography/merlin,62,114,1,"[('Rust', 100.0)]",False,False,MIT license
140,https://github.com/hjr3/php-rpm,12,114,1,"[('Rust', 92.4), ('C', 4.7), ('Shell', 2.0)]",False,False,
141,https://github.com/gfx-rs/genmesh,28,114,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
142,https://github.com/bobbin-rs/bobbin-cli,9,114,1,"[('Rust', 100.0)]",False,False,
143,https://github.com/likr-sandbox/rust-webgl2-example,6,114,1,"[('Rust', 89.2), ('HTML', 10.8)]",False,False,MIT license
144,https://github.com/dalek-cryptography/merlin,62,114,1,"[('Rust', 100.0)]",False,False,MIT license
145,https://github.com/substrate-developer-hub/utxo-workshop,84,114,1,"[('Rust', 100.0)]",False,False,Unlicense license
146,https://github.com/emberian/lets-build-a-compiler,7,114,1,"[('Rust', 100.0)]",False,False,
147,https://github.com/gifnksm/power-assert-rs,5,113,1,"[('Rust', 100.0)]",False,False,MIT license
148,https://github.com/typedruby/typedruby,0,113,1,"[('Rust', 75.0), ('C++', 9.2), ('Ragel', 8.4), ('Ruby', 6.9)]",False,False,MIT license
149,https://github.com/to-mas-kral/Fearless-NES,7,113,1,"[('Rust', 100.0)]",False,False,GPL-3.0 license
150,https://github.com/dtantsur/rust-dht,19,106,1,"[('Rust', 100.0)]",False,False,
151,https://github.com/TeXitoi/blue-pill-quickstart,13,106,1,"[('Rust', 79.3), ('GDB', 12.2), ('Logos', 8.5)]",False,False,MIT license
152,https://github.com/luqmana/wireguard-uwp-rs,6,106,1,"[('Rust', 100.0)]",False,False,
153,https://github.com/vnd/rarm,4,106,1,"[('Rust', 99.9), ('Shell', 0.1)]",False,False,View license
154,https://github.com/AndrewJakubowicz/ggezFlappyCrabby,6,105,1,"[('Rust', 74.8), ('PLSQL', 25.2)]",False,False,MIT license
155,https://github.com/Originate/scriptkeeper,4,104,1,"[('Rust', 98.7)]",False,False,MIT license
156,https://github.com/rustic-games/jilu,6,103,1,"[('Rust', 100.0)]",False,False,
157,https://github.com/anp/lolbench,12,103,1,"[('Rust', 97.7), ('HTML', 1.6)]",False,False,
158,https://github.com/jedisct1/rust-nats,18,102,1,"[('Rust', 100.0)]",False,False,View license
159,https://github.com/chyh1990/imageproc,6,102,1,"[('Rust', 100.0)]",False,False,MIT license
160,https://github.com/dflemstr/v8-rs,16,108,1,"[('Rust', 75.9), ('C++', 18.1), ('C', 6.0)]",False,False,
161,https://github.com/loyd/rscam,20,108,1,"[('Rust', 100.0)]",False,False,View license
162,https://github.com/erickt/stateful,4,107,1,"[('Rust', 100.0)]",False,False,
163,https://github.com/phsym/shrust,9,107,1,"[('Rust', 100.0)]",False,False,MIT license
164,https://github.com/PieterPenninckx/rsynth,3,106,1,"[('Rust', 100.0)]",False,False,
165,https://github.com/michiel/jsonapi-rust,28,106,1,"[('Rust', 100.0)]",False,False,MIT license
166,https://github.com/kitfre/Kinder,3,106,1,"[('Rust', 100.0)]",False,False,MIT license
167,https://github.com/dtantsur/rust-dht,19,106,1,"[('Rust', 100.0)]",False,False,
168,https://github.com/TeXitoi/blue-pill-quickstart,13,106,1,"[('Rust', 79.3), ('GDB', 12.2), ('Logos', 8.5)]",False,False,MIT license
169,https://github.com/luqmana/wireguard-uwp-rs,6,106,1,"[('Rust', 100.0)]",False,False,
170,https://github.com/seed-rs/seed-quickstart,28,102,1,"[('Rust', 73.1), ('HTML', 26.9)]",False,False,
171,https://github.com/jedisct1/rust-nats,18,102,1,"[('Rust', 100.0)]",False,False,View license
172,https://github.com/chyh1990/imageproc,6,102,1,"[('Rust', 100.0)]",False,False,MIT license
173,https://github.com/tomjakubowski/json_macros,6,102,1,"[('Rust', 100.0)]",False,False,MIT license
174,https://github.com/embly/embly,10,101,1,"[('Rust', 45.6), ('Go', 35.7), ('HTML', 5.7), ('JavaScript', 5.0), ('Shell', 2.1), ('HCL', 1.8)]",False,False,
175,https://github.com/ewasm/ewasm-rust-api,14,101,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
176,https://github.com/compass-rs/sass-rs,23,101,1,"[('Rust', 100.0)]",False,False,MIT license
177,https://github.com/swindon-rs/swindon,11,100,1,"[('Rust', 72.7), ('Python', 23.9), ('Smarty', 2.6)]",False,False,
178,https://github.com/posix4e/rust-metrics,19,100,1,"[('Rust', 98.4), ('Dockerfile', 1.1), ('Shell', 0.5)]",False,False,View license
179,https://github.com/mopp/Axel,3,100,1,"[('Rust', 97.2), ('Assembly', 2.3)]",False,False,MIT license
180,https://github.com/iCepa/tun2tor,16,98,1,"[('Rust', 97.8), ('Shell', 1.8), ('C', 0.4)]",False,False,MIT license
181,https://github.com/ShareXin/ShareXin,5,98,1,"[('Rust', 89.3), ('Shell', 6.3), ('Makefile', 4.4)]",False,False,GPL-3.0 license
182,https://github.com/ckkashyap/rustix,7,98,1,"[('Rust', 36.2), ('C', 27.1), ('C++', 18.9), ('Assembly', 9.5), ('Makefile', 8.3)]",False,False,MIT license
183,https://github.com/roblabla/cargo-travis,13,98,1,"[('Rust', 100.0)]",False,False,
184,https://github.com/fafhrd91/fectl,14,98,1,"[('Rust', 62.2), ('Python', 37.8)]",False,False,Apache-2.0 license
185,https://github.com/rust-js/rjs,6,97,1,"[('Rust', 100.0)]",False,False,
186,https://github.com/async-rs/async-log,4,97,1,"[('Rust', 100.0)]",False,False,
187,https://github.com/gruberb/web-programming-in-rust,15,97,1,"[('Rust', 94.0), ('Dockerfile', 5.4), ('Procfile', 0.6)]",False,False,
188,https://github.com/bgourlie/rs-nes,4,96,1,"[('Rust', 99.6)]",False,False,MIT license
189,https://github.com/cgag/hostblock,7,96,1,"[('Rust', 100.0)]",False,False,AGPL-3.0 license
190,https://github.com/iCepa/tun2tor,16,98,1,"[('Rust', 97.8), ('Shell', 1.8), ('C', 0.4)]",False,False,MIT license
191,https://github.com/ShareXin/ShareXin,5,98,1,"[('Rust', 89.3), ('Shell', 6.3), ('Makefile', 4.4)]",False,False,GPL-3.0 license
192,https://github.com/ckkashyap/rustix,7,98,1,"[('Rust', 36.2), ('C', 27.1), ('C++', 18.9), ('Assembly', 9.5), ('Makefile', 8.3)]",False,False,MIT license
193,https://github.com/roblabla/cargo-travis,13,98,1,"[('Rust', 100.0)]",False,False,
194,https://github.com/fafhrd91/fectl,14,98,1,"[('Rust', 62.2), ('Python', 37.8)]",False,False,Apache-2.0 license
195,https://github.com/rust-js/rjs,6,97,1,"[('Rust', 100.0)]",False,False,
196,https://github.com/async-rs/async-log,4,97,1,"[('Rust', 100.0)]",False,False,
197,https://github.com/bgourlie/rs-nes,4,96,1,"[('Rust', 99.6)]",False,False,MIT license
198,https://github.com/cgag/hostblock,7,96,1,"[('Rust', 100.0)]",False,False,AGPL-3.0 license
199,https://github.com/ebobby/simple-raytracer,8,96,1,"[('Rust', 100.0)]",False,False,MIT license
200,https://github.com/tcr/hoodlum,3,96,1,"[('Rust', 98.5), ('Verilog', 1.2), ('Shell', 0.3)]",False,False,
201,https://github.com/sagebind/sluice,8,96,1,"[('Rust', 100.0)]",False,False,MIT license
202,https://github.com/JoshMcguigan/timetrack,5,95,1,"[('Rust', 100.0)]",False,False,
203,https://github.com/danclive/sincere,7,95,1,"[('Rust', 100.0)]",False,False,MIT license
204,https://github.com/perceptia/skylane,2,95,1,"[('Rust', 100.0)]",False,False,
205,https://github.com/tokio-rs/tokio-tls,35,95,1,"[('Rust', 100.0)]",False,False,
206,https://github.com/mununki/rust_graphql_api_boilerplate,6,95,1,"[('Rust', 88.4), ('PLpgSQL', 9.1), ('Dockerfile', 2.5)]",False,False,MIT license
207,https://github.com/bolinfest/opensnoop-native,8,95,1,"[('Rust', 47.9), ('C', 41.4), ('Python', 10.6), ('Shell', 0.1)]",False,False,Apache-2.0 license
208,https://github.com/alexwennerberg/gourami,5,94,1,"[('Rust', 83.4), ('HTML', 11.3), ('CSS', 2.7), ('TSQL', 2.5), ('Shell', 0.1)]",False,False,AGPL-3.0 license
209,https://github.com/jbaublitz/knock-out,13,94,1,"[('Rust', 93.5), ('C', 3.1), ('Makefile', 2.8), ('Shell', 0.6)]",False,False,GPL-2.0 license
210,https://github.com/ujh/hamcrest-rust,30,90,1,"[('Rust', 100.0)]",False,False,
211,https://github.com/purpleprotocol/purple_prototype,6,90,1,"[('Rust', 99.5)]",False,False,GPL-3.0 license
212,https://github.com/Rust-Proof/rustproof,7,90,1,"[('Rust', 99.8), ('Shell', 0.2)]",False,False,
213,https://github.com/honeypotio/searchspot,8,90,1,"[('Rust', 99.7), ('Dockerfile', 0.3)]",False,False,BSD-2-Clause license
214,https://github.com/rustcc/forustm,18,90,1,"[('Rust', 57.9), ('HTML', 31.6), ('JavaScript', 7.6), ('CSS', 2.3)]",False,False,
215,https://github.com/softprops/serverless-aws-rust-http,9,90,1,"[('Rust', 100.0)]",False,False,
216,https://github.com/appsignal/mongo-rust-driver,21,90,1,"[('Rust', 100.0)]",False,False,
217,https://github.com/tversteeg/castle-game,7,90,1,"[('Rust', 100.0)]",False,False,View license
218,https://github.com/meh/dux,2,89,1,"[('Rust', 99.1), ('Nix', 0.9)]",False,False,GPL-3.0 license
219,https://github.com/trixnz/rustsym,7,89,1,"[('Rust', 100.0)]",False,False,MIT license
220,https://github.com/Bren2010/ecc,9,92,1,"[('Rust', 100.0)]",False,False,MIT license
221,https://github.com/yewstack/yew_router,23,91,1,"[('Rust', 99.2), ('Shell', 0.8)]",False,False,
222,https://github.com/giggio/speedtest,6,91,1,"[('Rust', 90.1), ('Makefile', 7.8), ('Dockerfile', 2.1)]",False,False,MIT license
223,https://github.com/jwilm/chatbot,17,91,1,"[('Rust', 99.7), ('Makefile', 0.3)]",False,False,MIT license
224,https://github.com/ujh/hamcrest-rust,30,90,1,"[('Rust', 100.0)]",False,False,
225,https://github.com/purpleprotocol/purple_prototype,6,90,1,"[('Rust', 99.5)]",False,False,GPL-3.0 license
226,https://github.com/Rust-Proof/rustproof,7,90,1,"[('Rust', 99.8), ('Shell', 0.2)]",False,False,
227,https://github.com/honeypotio/searchspot,8,90,1,"[('Rust', 99.7), ('Dockerfile', 0.3)]",False,False,BSD-2-Clause license
228,https://github.com/rustcc/forustm,18,90,1,"[('Rust', 57.9), ('HTML', 31.6), ('JavaScript', 7.6), ('CSS', 2.3)]",False,False,
229,https://github.com/softprops/serverless-aws-rust-http,9,90,1,"[('Rust', 100.0)]",False,False,
230,https://github.com/trixnz/rustsym,7,89,1,"[('Rust', 100.0)]",False,False,MIT license
231,https://github.com/arthurprs/floki,11,89,1,"[('Rust', 100.0)]",False,False,MIT license
